"label","text"
"00021","&#xE;2\0&#x4;Ȃ촄Rot-Fachwerkfassade"
"00151","&#xE;2\0&#x4;Ȃ촄Grau-Granitfassade"
"00022","&#xE;2\0&#x4;Ȃ촄Hellblau-Fachwerkfassade"
"00152","&#xE;2\0&#x4;Ȃ촄Beige-Lehmfassade"
"00010","&#xE;2\0&#x4;Ȃ촄Granitfassade"
"00023","&#xE;2\0&#x4;Ȃ촄Gelb-Fachwerkfassade"
"00153","&#xE;2\0&#x4;Ȃ촄Grau-Lehmfassade"
"00154","&#xE;2\0&#x4;Ȃ촄Rot-Lehmfassade"
"00142","&#xE;2\0&#x4;Ȃ촄Orange-Fachwerkfassade"
"00155","&#xE;2\0&#x4;Ȃ촄Blau-Lehmfassade"
"00000","&#xE;2\0&#x4;Ȃ촄Standardfassade"
"00143","&#xE;2\0&#x4;Ȃ촄Weiß-Fachwerkfassade"
"00156","&#xE;2\0&#x4;Ȃ촄Gelb-Lehmfassade"
"00144","&#xE;2\0&#x4;Ȃ촄Schwarz-Fachwerkfassade"
"00157","&#xE;2\0&#x4;Ȃ촄Rosa-Lehmfassade"
"00145","&#xE;2\0&#x4;Ȃ촄Schick-Granitfassade"
"00158","&#xE;2\0&#x4;Ȃ촄Schwarz-Lehmfassade"
"00146","&#xE;2\0&#x4;Ȃ촄Braun-Granitfassade"
"00159","&#xE;2\0&#x4;Ȃ촄Standardfassade mit Grau"
"00147","&#xE;2\0&#x4;Ȃ촄Rot-Granitfassade"
"00005","&#xE;2\0&#x4;Ȃ촄Standardfassade mit Rot"
"00148","&#xE;2\0&#x4;Ȃ촄Orange-Granitfassade"
"00006","&#xE;2\0&#x4;Ȃ촄Standardfassade mit Blau"
"00019","&#xE;2\0&#x4;Ȃ촄Weiß-Lehmfassade"
"00149","&#xE;2\0&#x4;Ȃ촄Blau-Granitfassade"
"00160","&#xE;2\0&#x4;Ȃ촄Gelb-Standardfassade"
"00009","&#xE;2\0&#x4;Ȃ촄Fachwerkfassade"
"00161","&#xE;2\0&#x4;Ȃ촄Rosa-Standardfassade"
"00162","&#xE;2\0&#x4;Ȃ촄Rot-Standardfassade"
"00020","&#xE;2\0&#x4;Ȃ촄Braun-Fachwerkfassade"
"00150","&#xE;2\0&#x4;Ȃ촄Grün-Granitfassade"
"00163","&#xE;2\0&#x4;Ȃ촄Schwarz-Standardfassade"
