"label","text"
"009","&#xE;2\0&#x4;ā촃Hip-Hop&#xE;2&#x16;\n\0\0\0&#x2;s"
"040","&#xE;2\0&#x4;ā촃Funk&#xE;2&#x16;\n\0\0\0&#x2;s"
"030","&#xE;2\0&#x4;Ȃ촄Chormusik"
"031","&#xE;2\0&#x4;ā촃R&B"
"032","&#xE;2\0&#x4;ā촃Operngesang&#xE;2&#x16;\n\0\0\0&#x2;s"
"020","&#xE;2\0&#x4;ā촃Bossa Nova"
"033","&#xE;2\0&#x4;ā촃Afrobeat&#xE;2&#x16;\n\0\0\0&#x2;s"
"021","&#xE;2\0&#x4;ā촃Blues"
"034","&#xE;2\0&#x4;ā촃Bluegrass"
"022","&#xE;2\0&#x4;ā촃Soul&#xE;2&#x16;\n\0\0\0&#x2;s"
"035","&#xE;2\0&#x4;ā촃Rockabilly&#xE;2&#x16;\n\0\0\0&#x2;s"
"010","&#xE;2\0&#x4;ā촃Country"
"023","&#xE;2\0&#x4;ā촃Techno&#xE;2&#x16;\n\0\0\0&#x2;s"
"036","&#xE;2\0&#x4;ā촃Italopop&#xE;2&#x16;\n\0\0\0&#x2;s"
"011","&#xE;2\0&#x4;ā촃Rock 'n' Roll"
"024","&#xE;2\0&#x4;ā촃Discopop&#xE;2&#x16;\n\0\0\0&#x2;s"
"037","&#xE;2\0&#x4;ā촃Drum 'n' Bass"
"012","&#xE;2\0&#x4;ā촃Folk&#xE;2&#x16;\n\0\0\0&#x2;s"
"025","&#xE;2\0&#x4;ā촃Samba&#xE;2&#x16;\n\0\0\0&#x2;s"
"038","&#xE;2\0&#x4;ā촃Flamenco&#xE;2&#x16;\n\0\0\0&#x2;s"
"013","&#xE;2\0&#x4;ā촃Punkrock&#xE;2&#x16;\n\0\0\0&#x2;s"
"026","&#xE;2\0&#x4;ā촃Swing&#xE;2&#x16;\n\0\0\0&#x2;s"
"039","&#xE;2\0&#x4;ā촃J-Pop&#xE;2&#x16;\n\0\0\0&#x2;s"
"001","&#xE;2\0&#x4;ā촃Bebop&#xE;2&#x16;\n\0\0\0&#x2;s"
"014","&#xE;2\0&#x4;&#x2;촄Tanzmusik"
"027","&#xE;2\0&#x4;ā촃Latin-Jazz"
"002","&#xE;2\0&#x4;ā촃Pop&#xE;2&#x16;\n\0\0\0&#x2;s"
"015","&#xE;2\0&#x4;ā촃Salsa&#xE;2&#x16;\n\0\0\0&#x2;s"
"028","&#xE;2\0&#x4;ă촅Heavy Metal&#xE;2&#x16;\n\0\0\0&#x2;s"
"003","&#xE;2\0&#x4;ā촃Jazz"
"016","&#xE;2\0&#x4;ā촃Mambo&#xE;2&#x16;\n\0\0\0&#x2;s"
"029","&#xE;2\0&#x4;ā촃Surfrock&#xE;2&#x16;\n\0\0\0&#x2;s"
"004","&#xE;2\0&#x4;Ȃ촄Klassik"
"017","&#xE;2\0&#x4;ā촃Reggae&#xE;2&#x16;\n\0\0\0&#x2;s"
"005","&#xE;2\0&#x4;ā촃Hardrock&#xE;2&#x16;\n\0\0\0&#x2;s"
"018","&#xE;2\0&#x4;ā촃Tango&#xE;2&#x16;\n\0\0\0&#x2;s"
"006","&#xE;2\0&#x4;ā촃Schlager&#xE;2&#x16;\n\0\0\0&#x2;s"
"019","&#xE;2\0&#x4;ā촃Elektropop&#xE;2&#x16;\n\0\0\0&#x2;s"
"007","&#xE;2\0&#x4;ā촃New Wave"
"008","&#xE;2\0&#x4;Ȃ촄Volksmusik"
