"label","text"
"00131","&#xE;2\0&#x4;Ā촃purple tile roof"
"00160","&#xE;2\0&#x4;Ѐ촃pink curved shingles"
"00132","&#xE;2\0&#x4;Ā촃black tile roof"
"00161","&#xE;2\0&#x4;Ѐ촃yellow curved shingles"
"00133","&#xE;2\0&#x4;Ā촃pink tile roof"
"00162","&#xE;2\0&#x4;Ѐ촃green curved shingles"
"00047","&#xE;2\0&#x4;Ā촃red tile roof"
"00134","&#xE;2\0&#x4;Ā촃yellow tile roof"
"00163","&#xE;2\0&#x4;Ѐ촃blue curved shingles"
"00135","&#xE;2\0&#x4;Ā촃green tile roof"
"00164","&#xE;2\0&#x4;Ѐ촃beige curved shingles"
"00136","&#xE;2\0&#x4;Ȁ촃aqua tile roof"
"00165","&#xE;2\0&#x4;Ѐ촃brown curved shingles"
"00137","&#xE;2\0&#x4;Ā촃blue tile roof"
"00166","&#xE;2\0&#x4;Ѐ촃black curved shingles"
"00138","&#xE;2\0&#x4;Ā촃purple tile roof"
"00167","&#xE;2\0&#x4;Ā촃white thatch roof"
"00023","&#xE;2\0&#x4;Ā촃brown thatch roof"
"00139","&#xE;2\0&#x4;Ā촃black tile roof"
"00168","&#xE;2\0&#x4;Ā촃deep-green thatch roof"
"00024","&#xE;2\0&#x4;Ȁ촃orange thatch roof"
"00169","&#xE;2\0&#x4;Ā촃black thatch roof"
"00025","&#xE;2\0&#x4;Ā촃fresh-grass thatch roof"
"00026","&#xE;2\0&#x4;Ā촃gray thatch roof"
"00000","&#xE;2\0&#x4;Ā촃red tile roof"
"00147","&#xE;2\0&#x4;Ā촃yellow tile roof"
"00003","&#xE;2\0&#x4;Ā촃pink tile roof"
"00148","&#xE;2\0&#x4;Ā촃green tile roof"
"00149","&#xE;2\0&#x4;Ȁ촃aqua tile roof"
"00150","&#xE;2\0&#x4;Ā촃blue tile roof"
"00006","&#xE;2\0&#x4;Ā촃golden-brown thatch roof"
"00151","&#xE;2\0&#x4;Ā촃purple tile roof"
"00007","&#xE;2\0&#x4;Ā촃gray stone roof"
"00152","&#xE;2\0&#x4;Ā촃black tile roof"
"00008","&#xE;2\0&#x4;Ѐ촃orange curved shingles"
"00153","&#xE;2\0&#x4;Ā촃beige stone roof"
"00154","&#xE;2\0&#x4;Ȁ촃orange stone roof"
"00039","&#xE;2\0&#x4;Ā촃red tile roof"
"00126","&#xE;2\0&#x4;Ā촃pink tile roof"
"00155","&#xE;2\0&#x4;Ā촃red stone roof"
"00127","&#xE;2\0&#x4;Ā촃yellow tile roof"
"00156","&#xE;2\0&#x4;Ā촃blue stone roof"
"00128","&#xE;2\0&#x4;Ā촃green tile roof"
"00157","&#xE;2\0&#x4;Ā촃green stone roof"
"00129","&#xE;2\0&#x4;Ȁ촃aqua tile roof"
"00158","&#xE;2\0&#x4;Ā촃brown stone roof"
"00130","&#xE;2\0&#x4;Ā촃blue tile roof"
"00159","&#xE;2\0&#x4;Ā촃black stone roof"
