"label","text"
"004","Un placer saludarte\nNos vemos\nHasta otra\nChao\nYo ya me iba"
"017","&#xE;2\0&#x4;&#x1;촀un mueble"
"121","Otra cosa"
"005","¿Qué era?\n¿Me repites aquello?\n¿Cómo era?"
"018","&#xE;2\0&#x4;&#x2;촀ropa"
"006","¡Traigo un bicho!\n¡Mira qué bicho!"
"110","&#xE;(%&#x4;촀\0¡Correcto!\n&#xE;(%&#x4;촀\0Así es..."
"007","¡Traigo lo que querías!\n¡Mira lo que traigo!"
"111","&#xE;('&#x4;촀\0¡No, ya no!"
"008","¿Se te ha caído?\n¿Esto es tuyo?\n¿Has perdido esto?"
"112","&#xE;('&#x4;촀\0¡Cambié de idea!\n&#xE;('&#x4;촀\0¡Ya no es así!"
"009","Tengo lo que perdiste\nSe te perdió esto\nEsto es tuyo, ¿no?"
"100","¡Esto es para ti!\n¡Un regalo!\nTengo algo que darte"
"113","&#xE;(%&#x4;촀\0Correcto\n&#xE;(%&#x4;촀\0Eso es"
"114","&#xE;('&#x4;촀\0No, no, no...\n&#xE;('&#x4;촀\0Espera, espera..."
"115","&#xE;(%&#x4;촀\0¡Ya lo sabía!\n&#xE;(%&#x4;촀\0Eso parece..."
"116","&#xE;(\0&#x4;촀\0¿En serio?\n&#xE;(\0&#x4;촀\0¡No me digas!"
"117","&#xE;(%&#x4;촀\0Claro que sí\n&#xE;(%&#x4;촀\0Por supuesto"
"010","¡Yo me encargo!\n¡Será pan comido!\n¡Eso está chupado!"
"118","&#xE;('&#x4;촀\0No tengo ni idea...\n&#xE;('&#x4;촀\0Pues no lo sé..."
"011","Lo siento, pero...\nAhora no puedo...\nPerdona, pero no..."
"119","&#xE;(%&#x4;촀\0¡Sí!\n&#xE;(%&#x4;촀\0Sí, en eso coincidimos"
"012","¡Entregado!\n¡Entrega hecha!\n¡Hecho!"
"013","¡Entrega!\n¡Para ti!\n¡Te traigo algo!"
"001","Cuéntame cosas\nCharlemos\nDame palique\nDime cositas\nHablemos"
"014","Un mueble"
"002","Es igual, déjalo\nSolo saludaba\nBah, olvídalo\nMira qué hora es"
"015","Ropa"
"003","¿Cómo va todo?\n¿Qué te cuentas?\n¿Qué hay?\n¿Alguna novedad?"
"120","&#xE;('&#x4;촀\0Qué va...\n&#xE;('&#x4;촀\0La verdad es que no..."
