"label","text"
"006_15","Je vais jeter un œil !"
"012_00","OK !"
"006_16","Une autre fois..."
"009_j","En fait, non."
"012_01","L'hémisphère nord !"
"006_17","&#xE;(\0&#x4;촁\0Merci, ça ira !"
"009_k","Les ponts et les rampes."
"012_02","L'hémisphère sud !"
"006_18","&#xE;(\0&#x4;촁\0Remontre-moi ça."
"009_l","Construire un pont."
"006_19","Examiner de près"
"009_m","Installer une rampe."
"012_04","Explique-moi encore !"
"009_n","Démolir un élément."
"009_o","Déplacer un bâtiment."
"031_00","Oui !"
"009_p","La maison d'un résident."
"031_01","Service de nettoyage !"
"009_q","Le magasin."
"012_08","J'hésite..."
"031_02","Lire le mode d'emploi."
"009_r","Le musée."
"013_01","Autre part."
"031_03","Nan."
"009_s","L'atelier de couture."
"013_02","Au Japon."
"013_10","Autre part."
"031_04","Oui."
"009_t","À propos de l'emprunt."
"013_03","Au Japon / En Asie."
"013_11","Toujours pas."
"031_05","Non."
"013_04","En Asie."
"009_v","Parlons infrastructures."
"013_05","En Amérique du Nord."
"009_w","Vendre un terrain."
"013_06","En Europe."
"009_x","Le camping."
"013_07","En Amérique du Sud."
"013_08","En Océanie."
"013_09","En Afrique."
"001_a","Imaginons..."
"001_b","Ici, c'est parfait !"
"019_01","Je veux ce motif."
"001_c","C'est pas idéal..."
"019_02","Exposer ma création ici."
"001_d","C'est parfait !"
"019_03","Je regarde simplement."
"010_a","rouge"
"019_04","Je le prends."
"010_b","rose"
"019_05","J'en ai pas besoin."
"010_c","jaune"
"010_d","noir"
"003_a","Faire une donation."
"010_e","bleu"
"003_b","Expertiser des fossiles."
"010_f","turquoise"
"003_c","C'est quoi, ça ?"
"010_g","vert"
"000","Laisse tomber."
"003_d","Rien, merci."
"010_h","violet"
"003_e","Non, rien."
"004_a","Oui."
"010_i","Une autre couleur."
"003_f","Je l'offre au musée !"
"004_b","Non."
"003_g","Non, c'est à moi."
"003_h","D'accord !"
"005_a","Échanger."
"017_01","J'achète !"
"017_02","Non merci."
"017_11","OK !"
"032_00","Le guide de l'utilisateur."
"032_01","Les routes."
"006_e","Le cours du navet ?"
"032_02","Les cours d'eau."
"014_01","Ça ira, merci."
"032_03","Les falaises."
"006_g","Non, merci."
"014_02","Je dois faire quoi ?"
"018_02",""
"018_10",""
"032_04","Le service de nettoyage."
"006_h","J'achète !"
"014_03","J'ai trouvé une créature."
"018_03",""
"032_05","Rien, j'ai fini."
"006_i","En fait, non."
"008_a","Terminer la session."
"014_04","À propos de l'atelier."
"018_04",""
"018_12",""
"018_20",""
"006_j","Montre-moi encore !"
"008_b","Retourner sur mon île."
"014_05","À propos de ma maison."
"018_05",""
"018_13",""
"006_k","Ça ira !"
"008_c","Signaler."
"014_06","À propos de l'emprunt."
"018_06",""
"018_14",""
"033_00","Utiliser la borne."
"006_l","Marché conclu !"
"014_07","OK !"
"018_07",""
"018_15",""
"020_00","Annuler."
"006_m","Débarrasse-m'en !"
"009_a","À propos de ma maison."
"014_08","Comment dire..."
"018_08",""
"018_16",""
"006_n","Je garde."
"009_b","Je veux agrandir."
"014_09","Allons à l'inauguration !"
"015_01","Oui"
"018_09",""
"018_17",""
"002_01","Pas mal !"
"009_c","Je veux personnaliser."
"015_02","Non"
"018_18",""
"002_02","Je vais chercher !"
"009_d","Je veux déménager."
"018_19",""
"002_03","Si tu y réfléchissais..."
"006_03","Achète-moi des trucs !"
"009_e","Acheter une clôture. "
"015_04","OK"
"020_05","Changer de destinataire."
"002_04","Super !"
"006_04","Tu as quoi à vendre ?"
"009_f","Allons-y !"
"002_05","Quelque chose cloche."
"009_g","Je vais y réfléchir."
"002_06","Là, c'est pas mal."
"006_06","Non, rien."
"009_h","Non, rien."
"021_00","Pas vraiment."
