"label","text"
"713_Helmet_10947","Bordò"
"738_Helmet_11806","Bianco"
"699_Helmet_05381","Rosso"
"713_Helmet_10948","Verde muschio"
"687_Helmet_05335","Verde"
"713_Helmet_10949","Grigio"
"956_Helmet_07291","Verde"
"838_Helmet_05697","Rosso"
"698_Helmet_11617","Arancione fiamma"
"675_Helmet_11836","Rosa"
"683_Helmet_05331","Verde"
"692_Helmet_05346","Dorato"
"698_Helmet_11618","Marrone"
"748_Helmet_05443","Rosso"
"675_Helmet_11837","Giallo"
"698_Helmet_11619","Giallo limetta"
"758_Helmet_05464","Nero"
"675_Helmet_11838","Verde"
"675_Helmet_11839","Blu"
"708_Helmet_05364","Blu scuro"
"709_Helmet_11596","Blu marino"
"833_Helmet_11897","Nero"
"1011_Helmet_05819","Colore dei capelli"
"709_Helmet_11597","Verde"
"713_Helmet_05370","Beige"
"833_Helmet_11898","Rosso"
"706_Helmet_11613","Nero"
"709_Helmet_11598","Arancio"
"833_Helmet_11899","Rosa"
"706_Helmet_11614","Avocado"
"708_Helmet_11870","Grigio"
"709_Helmet_11599","Giallo"
"708_Helmet_11871","Rosso"
"708_Helmet_11872","Viola"
"758_Helmet_11707","Rosso"
"931_Helmet_11600","Blu marino"
"1008_Helmet_09750","Oro rosa"
"708_Helmet_11873","Blu chiaro"
"931_Helmet_11601","Verde"
"1009_Helmet_11894","Blu"
"679_Helmet_05327","Verde"
"708_Helmet_11874","Verde"
"931_Helmet_11602","Arancio"
"1009_Helmet_11895","Viola"
"708_Helmet_11875","Giallo"
"711_Helmet_11829","Blu"
"825_Helmet_05687","Rosso"
"931_Helmet_11603","Giallo"
"933_Helmet_06052","Bianco"
"1009_Helmet_11896","Verde"
"708_Helmet_11876","Arancione"
"717_Helmet_05394","Bianco"
"759_Helmet_05465","Bianco"
"830_Helmet_05692","Bianco"
"704_Helmet_05365","Bianco"
"825_Helmet_11611","Blu"
"825_Helmet_11612","Verde"
"832_Helmet_05682","Blu"
"702_Helmet_11880","Giallo oro"
"709_Helmet_05366","Rosso"
"833_Helmet_11900","Blu"
"675_Helmet_05323","Rosso"
"833_Helmet_11901","Lilla"
"698_Helmet_05374","Nero"
"697_Helmet_11604","Bianco"
"697_Helmet_11605","Giallo"
"748_Helmet_10237","Bianco"
"822_Helmet_05669","Rosa"
"697_Helmet_11606","Rosso lampone"
"748_Helmet_10238","Nero"
"759_Helmet_11708","Rosa"
"697_Helmet_11607","Blu"
"748_Helmet_10239","Blu"
"759_Helmet_11709","Blu chiaro"
"1040_Helmet_08609","Bianco"
"697_Helmet_11608","Turchese"
"742_Helmet_05435","Rosa"
"697_Helmet_11609","Rosso"
"711_Helmet_05368","Rosso"
"826_Helmet_05688","Colore dei capelli"
"934_Helmet_06053","Nero"
"718_Helmet_05395","Nero"
"831_Helmet_05693","Rosa"
"677_Helmet_11700","Giallo"
"738_Helmet_05423","Rosa"
"833_Helmet_05683","Viola"
"836_Helmet_09741","Rosa"
"677_Helmet_11701","Bianco"
"836_Helmet_09742","Giallo oro"
"836_Helmet_09743","Verde"
"676_Helmet_05324","Bianco"
"836_Helmet_09744","Blu"
"836_Helmet_09745","Viola"
"836_Helmet_09746","Nero"
"831_Helmet_11890","Bianco"
"822_Helmet_11815","Blu"
"828_Helmet_05690","Colore dei capelli"
"831_Helmet_11891","Viola"
"822_Helmet_11816","Arancio"
"831_Helmet_11892","Verde"
"706_Helmet_05362","Marrone"
"822_Helmet_11817","Verde"
"831_Helmet_11893","Arancio"
"822_Helmet_11818","Viola"
"712_Helmet_05369","Rosso"
"827_Helmet_05689","Colore dei capelli"
"686_Helmet_05334","Grigio"
"834_Helmet_05684","Blu"
"678_Helmet_11702","Marrone"
"707_Helmet_11853","Viola pastello"
"678_Helmet_11703","Bianco"
"707_Helmet_11854","Giallo pastello"
"718_Helmet_10227","Bianco"
"677_Helmet_05325","Rosa"
"698_Helmet_11620","Avocado"
"707_Helmet_11855","Verde pastello"
"718_Helmet_10228","Verde oliva"
"707_Helmet_11856","Rosa pastello"
"718_Helmet_10229","Giallo"
"931_Helmet_06050","Rosso"
"1008_Helmet_06092","Argentato"
"675_Helmet_11840","Blu chiaro"
"682_Helmet_05330","Marrone"
"707_Helmet_11857","Grigio pastello"
"675_Helmet_11841","Verde chiaro"
"707_Helmet_11858","Blu pastello"
"917_Helmet_06034","Bianco"
"675_Helmet_11842","Arancio"
"707_Helmet_11859","Arancione pastello"
"829_Helmet_05691","Colore dei capelli"
"834_Helmet_11881","Viola"
"933_Helmet_09747","Rosso"
"834_Helmet_11882","Rosa"
"933_Helmet_09748","Nero"
"834_Helmet_11883","Giallo"
"1010_Helmet_06091","Dorato"
"1113_Helmet_09862","Giallo"
