"label","text"
"714","&#xE;2\0&#x4;ā촅cappello da detective"
"959","&#xE;2\0&#x4;̂촇corona di rose blu"
"587","&#xE;2\0&#x4;ā촅cappello da esploratore"
"588","&#xE;2\0&#x4;ā촅cappello da laurea"
"803","&#xE;2\0&#x4;ā촅guscio d'uovo"
"589","&#xE;2\0&#x4;ā촅sombrero"
"719","&#xE;2\0&#x4;ā촅cappello di paglia"
"942","&#xE;2\0&#x4;ā촅fiocco"
"570","&#xE;2\0&#x4;̂촇corona di gigli"
"1111","&#xE;2\0&#x4;̂촇barretta per capelli"
"571","&#xE;2\0&#x4;̂촇corona di gigli graziosa"
"1112","&#xE;2\0&#x4;ā촅fiocco gigante"
"572","&#xE;2\0&#x4;̂촇corona di gigli cupa"
"1200","&#xE;2\0&#x4;ā촅guscio d'uovo acquatico"
"573","&#xE;2\0&#x4;̂촇corona di crisantemi"
"660","&#xE;2\0&#x4;ā촅cappello di paglia largo"
"701","&#xE;2\0&#x4;ā촅cappello da giullare"
"1114","&#xE;2\0&#x4;ā촅casco da skateboard"
"1201","&#xE;2\0&#x4;̂촇corona caccia all'uovo"
"574","&#xE;2\0&#x4;̂촇corona di crisantemi chic"
"661","&#xE;2\0&#x4;̂촇cuffia da doccia a pois"
"1115","&#xE;2\0&#x4;ā촅berretto Aran"
"1202","&#xE;2\0&#x4;ā촅cappello uova da sera"
"575","&#xE;2\0&#x4;̂촇corona crisantemi semplice"
"662","&#xE;2\0&#x4;ā촅borsalino"
"617","&#xE;2\0&#x4;ā촅cappello da marinaio"
"663","&#xE;2\0&#x4;ā촅cappello modesto"
"949","&#xE;2\0&#x4;Ђ초aureola"
"1117","&#xE;2\0&#x4;ā촅cappello con scritta"
"1163","&#xE;2\0&#x4;̂촇tubeteika"
"618","&#xE;2\0&#x4;ā초elmo vichingo"
"664","&#xE;2\0&#x4;ā촅cappellino sportivo"
"751","&#xE;2\0&#x4;ā촅teschio di mucca"
"1164","&#xE;2\0&#x4;ā촅matanpushi"
"665","&#xE;2\0&#x4;ā촅berretto di spugna"
"1119","&#xE;2\0&#x4;̂촇paglietta con nastrino"
"579","&#xE;2\0&#x4;ā촅berretto con visiera"
"667","&#xE;2\0&#x4;̂촇corona reale"
"669","&#xE;2\0&#x4;ā촅cappello di spugna"
"930","&#xE;2\0&#x4;ā촅berretto scozzese"
"560","&#xE;2\0&#x4;̂촇corona di tulipani cupa"
"1014","&#xE;2\0&#x4;̂촇corona"
"561","&#xE;2\0&#x4;̂촇corona di viole"
"1061","&#xE;2\0&#x4;ā촅cappellino da baseball"
"562","&#xE;2\0&#x4;̂촇corona di viole spavalda"
"935","&#xE;2\0&#x4;ā촅berretto con pon-pon"
"563","&#xE;2\0&#x4;̂촇corona di viole viola"
"936","&#xE;2\0&#x4;ā촅basco scozzese"
"564","&#xE;2\0&#x4;̂촇corona di cosmee"
"1105","&#xE;2\0&#x4;̂촇molletta floreale"
"565","&#xE;2\0&#x4;̂촇corona di cosmee graziosa"
"1065","&#xE;2\0&#x4;ā촅berretto di tweed"
"1106","&#xE;2\0&#x4;̂촇molletta cuore"
"566","&#xE;2\0&#x4;̂촇corona di cosmee cupa"
"1107","&#xE;2\0&#x4;̂촇molletta stella"
"1153","&#xE;2\0&#x4;ā촅cappello tropicale"
"567","&#xE;2\0&#x4;̂촇corona di rose"
"568","&#xE;2\0&#x4;̂촇corona di rose graziosa"
"569","&#xE;2\0&#x4;̂촇corona di rose chic"
"656","&#xE;2\0&#x4;ā촅cappello tulipano"
"657","&#xE;2\0&#x4;̂촇bandana con motivo paisley"
"658","&#xE;2\0&#x4;ā촅cappello tirolese"
"659","&#xE;2\0&#x4;̂촇bombetta con fiocco"
"550","&#xE;2\0&#x4;ā촅cappello di Capodanno"
"551","&#xE;2\0&#x4;ā촅cappello di compleanno"
"552","&#xE;2\0&#x4;̂촇corona di giacinti"
"553","&#xE;2\0&#x4;̂촇corona di giacinti spavalda"
"640","&#xE;2\0&#x4;ā촅cappello uva"
"554","&#xE;2\0&#x4;̂촇corona di giacinti viola"
"641","&#xE;2\0&#x4;ā촅cappello ananas"
"555","&#xE;2\0&#x4;̂촇corona di anemoni"
"642","&#xE;2\0&#x4;ā촅cappello anguria"
"1142","&#xE;2\0&#x4;ā촅cappello Nook Inc."
"556","&#xE;2\0&#x4;̂촇corona di anemoni spavalda"
"929","&#xE;2\0&#x4;ā촅cappello imperiale"
"1143","&#xE;2\0&#x4;̂촇bandana Nook Inc."
"557","&#xE;2\0&#x4;̂촇corona di anemoni viola"
"644","&#xE;2\0&#x4;ā촅cappello da chef di sushi"
"558","&#xE;2\0&#x4;̂촇corona di tulipani"
"645","&#xE;2\0&#x4;ā촅casco da ciclista"
"559","&#xE;2\0&#x4;̂촇corona di tulipani chic"
"646","&#xE;2\0&#x4;̂촇cuffia da nuoto"
"1192","&#xE;2\0&#x4;ā촅cappello OK Motors"
"647","&#xE;2\0&#x4;ā촅cappello di seta"
"1147","&#xE;2\0&#x4;ā촅cappello da pioggia"
"910","&#xE;2\0&#x4;ā촅cilindro di Capodanno"
"1195","&#xE;2\0&#x4;ā촅guscio d'uovo terrestre"
"696","&#xE;2\0&#x4;ā촅cappello elegante"
"1196","&#xE;2\0&#x4;ā촅guscio d'uovo roccioso"
"1197","&#xE;2\0&#x4;ā촅guscio d'uovo frondoso"
"1198","&#xE;2\0&#x4;ā촅guscio d'uovo boscoso"
"960","&#xE;2\0&#x4;̂촇corona di rose d'oro"
"1041","&#xE;2\0&#x4;ā촅fermacapelli floreale"
"1199","&#xE;2\0&#x4;ā촅guscio d'uovo celeste"
"961","&#xE;2\0&#x4;̂촇tiara"
"1042","&#xE;2\0&#x4;ā촅fermaglio floreale"
"1043","&#xE;2\0&#x4;ā촅cappello da pilota"
"590","&#xE;2\0&#x4;Ё초elmetto protettivo"
"631","&#xE;2\0&#x4;ā촅cappello da strega"
"1044","&#xE;2\0&#x4;ā촅cappello da studente"
"1131","&#xE;2\0&#x4;ā촅berretto Bice"
"591","&#xE;2\0&#x4;ā촅cappello da cuoco"
"632","&#xE;2\0&#x4;ā촅cappellino di jeans"
"1045","&#xE;2\0&#x4;̂촇molletta ibisco"
"1132","&#xE;2\0&#x4;ā촅cappello Bice"
"592","&#xE;2\0&#x4;ā촅cappello da poliziotto"
"633","&#xE;2\0&#x4;ā촅cappellino da ciclista"
"720","&#xE;2\0&#x4;ā촅cappello australiano"
"634","&#xE;2\0&#x4;ā촅cappello parasole"
"1221","&#xE;2\0&#x4;̂촇corona fatta a mano"
"594","&#xE;2\0&#x4;ā촅cappello di bambù"
"635","&#xE;2\0&#x4;̂촇paglietta"
"681","&#xE;2\0&#x4;ā촅cappellino basso di lana"
"1222","&#xE;2\0&#x4;̂촇corona solstizio d'estate"
"595","&#xE;2\0&#x4;ā촅cappello di ecopelliccia"
"636","&#xE;2\0&#x4;ā촅basco"
"596","&#xE;2\0&#x4;̂촇bandana a quadri"
"637","&#xE;2\0&#x4;ā촅cappello arancia"
"724","&#xE;2\0&#x4;ā촅cappellino nevoso di lana"
"597","&#xE;2\0&#x4;ā촅cappello di maglia"
"638","&#xE;2\0&#x4;ā촅cappello kiwi"
"684","&#xE;2\0&#x4;ā촅cappello da capitano"
"725","&#xE;2\0&#x4;ā촅cappellino colorato di lana"
"598","&#xE;2\0&#x4;̂촇coppola"
"639","&#xE;2\0&#x4;ā촅cappello fragola"
"685","&#xE;2\0&#x4;ā촅berretto da dandy"
"599","&#xE;2\0&#x4;ā촅berretto militare"
"1186","&#xE;2\0&#x4;ā촅cappello DAL"
