"label","text"
"004","Foresta canterina"
"203","Rettili acquatici"
"005","Ponte delle libellule"
"204","Pterosauri"
"006","Angolo delle palme"
"110","L'abisso"
"205","Zona dell'estinzione"
"007","Vialetto ombroso"
"206","Sinapsidi"
"008","Oasi delle farfalle"
"207","Il Cenozoico"
"009","Reame degli insetti"
"101","Le sorgenti"
"102","Lo stagno"
"103","Il grande fiume"
"104","Vasca rasserenante"
"010","Laboratorio"
"105","La costa"
"011","Insetti mimetici"
"106","Barriera corallina"
"107","Mare ghiacciato"
"001","Albero gigante"
"109","Acque profonde"
"002","Stradina ombreggiata"
"201","Vertebrati"
"003","Panchina silenziosa"
"202","Molluschi e artropodi"
