"label","text"
"WorldChild","Internationale Kinderdag"
"WinterSolstice","Midwinter"
"FishingConventionWinter","Wintervistoernooi"
"FishingConventionAutumn","Herfstvistoernooi"
"InsectConvention1","Beestjesbeker"
"InsectConvention2","Beestjesbeker"
"InsectConvention3","Beestjesbeker"
"MothersDay","Moederdag"
"InsectConvention4","Beestjesbeker"
"FathersDay","Vaderdag"
"SummerSolstice","Midzomer"
"FishingConventionSpring","Lentevistoernooi"
"Countdown","Aftellen"
"FishingConventionSummer","Zomervistoernooi"
