"label","text"
"004","Zingend bos"
"203","Waterreptielen"
"005","Libellenbrug"
"204","Pterosaurussen"
"006","Kokospalmenhoekje"
"110","Diepste dieptes"
"205","Bijna uitgestorven"
"007","Lommerrijk pad"
"206","Synapsiden"
"008","Vlindertuin"
"207","Cenozoïcum"
"009","Insectenboerderijen"
"101","Bron"
"102","Vijver"
"103","Grote rivier"
"104","Relax-aquarium"
"010","Laboratorium"
"105","Kust"
"011","Camouflagebeestjes"
"106","Koraalrif"
"107","IJszee"
"001","Reusachtige boom"
"109","Diepzee"
"002","Schaduwrijk pad"
"201","Gewervelden"
"003","Ontspanningsbankje"
"202","Ongewervelden"
