"label","text"
"2004","ちけいデザイン"
"4010","UIプログラム"
"9601","アソーシエイトプロデューサー"
"2005","＜フィールド＞"
"4011","メッセージプログラム"
"2006","＜たてもの＞"
"4012","サウンドプログラム"
"1001","アシスタントディレクター"
"2007","＜おうち＞"
"4013","QAプログラム"
"1002","スクリプトディレクター"
"2008","＜ないそう＞"
"4014","プログラムアドバイザー"
"1003","プロジェクトマネージメント"
"2009","オブジェクトデザイン"
"1004","プランニングスーパーバイザー"
"1005","システムプランニング"
"1006","イベントプランニング"
"9001","スペシャルサンクス"
"1007","UIプランニング"
"5001","オープニングムービー"
"1008","ネットワークプランニング"
"5002","パッケージデザイン"
"1009","スクリプト"
"5003","デザインサポート"
"9701","ゼネラルプロデューサー"
"5004","プログラミングサポート"
"5005","ネットワークサポート"
"5006","テクニカルサポート"
"4001","キャラクタープログラム"
"5007","デバッグ"
"0001","ディレクター"
"4002","プレイヤープログラム"
"0002","アートディレクター"
"4003","ネットワークプログラム"
"5002_01","イラストレーション"
"0003","サウンドディレクター"
"4004","フィールドプログラム"
"0004","プログラムディレクター"
"2010","＜かぐ＞"
"4005","システムプログラム"
"2011","＜ファッション＞"
"4006","カメラプログラム"
"2012","＜いきもの＞"
"3001","ミュージック"
"4007","オブジェクトプログラム"
"8001","NHL Localization"
"2013","＜しょくぶつ＞"
"3002","サウンドデザイン"
"4008","ツールプログラム"
"9801","エグゼクティブプロデューサー"
"2014","＜アイテム＞"
"4009","グラフィックスプログラム"
"2015","UIデザイン"
"8004","iQue Localization"
"1010","プランニングサポート"
"2016","エフェクトデザイン"
"2017","ライティングデザイン"
"9501","プロデューサー"
"2018","アセットデザイン"
"7001","NOE Localisation Producers"
"8007","NOK Localization"
"2019","デザインアドバイザー"
"7002","NOE Translation"
"7003","NOE Quality Assurance"
"6001","NOA Localization Management"
"2001","キャラクターデザイン"
"6002","NOA Localization"
"2002","＜プレイヤー＆どうぶつ＞"
"6003","NOA Product Testing"
"2003","＜アニメーション＞"
