"label","text"
"00021","빨간색 나이테 외벽"
"00151","회색 돌 외벽"
"00022","하늘색 나이테 외벽"
"00152","베이지색 석회 외벽"
"00010","돌 외벽"
"00023","노란색 나이테 외벽"
"00153","회색 석회 외벽"
"00154","빨간색 석회 외벽"
"00142","오렌지색 나이테 외벽"
"00155","파란색 석회 외벽"
"00000","평범한 외벽"
"00143","하얀색 나이테 외벽"
"00156","노란색 석회 외벽"
"00144","검은색 나이테 외벽"
"00157","핑크색 석회 외벽"
"00145","시크한 돌 외벽"
"00158","검은색 석회 외벽"
"00146","갈색 돌 외벽"
"00159","회색 평범한 외벽"
"00147","빨간색 돌 외벽"
"00005","빨간 틀 평범한 외벽"
"00148","오렌지색 돌 외벽"
"00006","파란 틀 평범한 외벽"
"00019","하얀색 석회 외벽"
"00149","파란색 돌 외벽"
"00160","노란색 평범한 외벽"
"00009","나이테 외벽"
"00161","핑크색 평범한 외벽"
"00162","빨간색 평범한 외벽"
"00020","갈색 나이테 외벽"
"00150","초록색 돌 외벽"
"00163","검은색 평범한 외벽"
