"label","text"
"Sculpture_12533","돌 머리의 조각"
"Picture_00072","엄숙한 명화"
"Picture_12624","빛의 명화"
"Picture_12625","미스터리한 명화"
"PictureFake_00017","유명한 명화"
"Sculpture_12535","단서가 되는 조각"
"Picture_00028","근사한 명화"
"SculptureFake_01332","모성이 느껴지는 조각"
"PictureFake_00065","씩씩한 명화"
"Sculpture_12537","어마어마한 조각"
"PictureFake_00031","예쁜 명화"
"SculptureFake_01334","늠름한 조각"
"Picture_00042","재미있는 명화"
"Sculpture_12539","무사의 조각"
"SculptureFake_12534","돌 머리의 조각"
"Picture_00078","평온한 명화"
"SculptureFake_01336","듬직한 조각"
"Picture_00044","평범한 명화"
"SculptureFake_12536","단서가 되는 조각"
"Picture_00010","침착한 명화"
"SculptureFake_01338","태고의 조각"
"Picture_00046","활기 넘치는 명화"
"SculptureFake_12538","어마어마한 조각"
"Picture_00048","좋은 명화"
"Picture_00014","용감한 명화"
"Sculpture_01341","아름다운 조각"
"PictureFake_00005","절제된 명화"
"Sculpture_01343","신비로운 조각"
"Sculpture_12570","혼란스러운 명화의 왼쪽"
"Picture_00018","유명한 명화"
"Sculpture_01345","거룩한 조각"
"PictureFake_00009","침착한 명화"
"PictureFake_00055","대단한 명화"
"Picture_00066","씩씩한 명화"
"Picture_12618","반짝이는 명화"
"Picture_00032","예쁜 명화"
"Picture_12619","아카데믹한 명화"
"PictureFake_12620","아카데믹한 명화"
"Picture_00068","가치 있는 명화"
"PictureFake_00023","아늑한 명화"
"Sculpture_12541","익숙한 조각"
"SculptureFake_12571","혼란스러운 명화의 왼쪽"
"Picture_00034","느낌이 좋은 명화"
"PictureFake_00071","엄숙한 명화"
"PictureFake_12623","섬세한 명화"
"Picture_00002","뛰어난 명화"
"PictureFake_00027","근사한 명화"
"SculptureFake_12540","무사의 조각"
"Picture_00038","멋들어진 명화"
"SculptureFake_01342","아름다운 조각"
"Picture_00050","진귀한 명화"
"Sculpture_01331","모성이 느껴지는 조각"
"PictureFake_00041","재미있는 명화"
"SculptureFake_01344","신비로운 조각"
"Picture_00006","절제된 명화"
"Picture_00052","힘찬 명화"
"PictureFake_12629","뛰어난 명화"
"Sculpture_01333","늠름한 조각"
"Sculpture_00076","혼란스러운 명화의 오른쪽"
"SculptureFake_01346","거룩한 조각"
"Sculpture_01335","듬직한 조각"
"Picture_00020","훌륭한 명화"
"Picture_00056","대단한 명화"
"Sculpture_01337","태고의 조각"
"SculptureFake_00075","혼란스러운 명화의 오른쪽"
"Picture_12621","가라앉는 명화"
"PictureFake_00013","용감한 명화"
"Sculpture_01339","위대한 조각"
"Picture_00024","아늑한 명화"
"Picture_12622","섬세한 명화"
