"label","text"
"991","나비 가방"
"992","스터드 배낭"
"980","도토리 미니백"
"993","미니 가죽 가방"
"981","눈꽃 미니백"
"994","커다란 배낭"
"982","조개 미니백"
"995","바구니 가방"
"970","손뜨개 파우치"
"983","공구 가방"
"996","폴드오버 배낭"
"1185","DAL 가방"
"971","슬링백"
"984","스포츠백"
"997","주머니 가방"
"972","가죽 슬링백"
"985","사코슈"
"998","옥스퍼드 배낭"
"973","크로스 보스턴백"
"986","파티 가방"
"999","엄마의 주머니 가방"
"974","봄의 물방울 숄더백"
"987","지게"
"1150","Nook Inc. 주머니 가방"
"962","메신저백"
"975","옥스퍼드 숄더백"
"988","여행자의 배낭"
"963","드라이백"
"976","라탄 미니백"
"989","사각 배낭"
"964","가죽 숄더백"
"977","별무늬 미니백"
"965","물고기 미니백"
"978","벚꽃 미니백"
"1203","이스터 가방"
"966","낚시 가방"
"979","단풍 미니백"
"967","채집통"
"1000","풀잎 니트 배낭"
"968","인조털 가방"
"1001","하드 케이스 배낭"
"969","가죽 프린지백"
"957","타운 배낭"
"958","여행 파우치"
"990","아웃도어 배낭"
