"label","text"
"004","Bois chantant"
"203","Reptiles aquatiques"
"005","Pont aux libellules"
"204","Ptérosaures"
"006","Coin des cocotiers"
"110","Abysses"
"205","Aube de l'extinction"
"007","Chemin ombragé"
"206","Synapsides"
"008","Jardin aux papillons"
"207","Cénozoïque"
"009","Ferme aux insectes"
"101","Amont de la rivière"
"102","Étang"
"103","Grande rivière"
"104","Aquarium apaisant"
"010","Laboratoire"
"105","Bord de mer"
"011","Insectes mimétiques"
"106","Récif de corail"
"107","Océan glacial"
"001","Arbre géant"
"109","Profondeurs"
"002","Sentier de montagne"
"201","Vertébrés"
"003","Banc paisible"
"202","Mollusq./arthropodes"
